number,model,rating,offer_price,original_price,price_difference
1,skullcandy push truly wireless earphones (s2bbw-l638 teal),0,9999.00,9999.00,0.0
2,redmi redmi note 7 pro (blue 64 gb 4 gb ram),0,14499.00,15999.00,1500.0
3,redmi redmi note 7 pro (black 128 gb 6 gb ram),0,17499.00,17999.00,500.0
4,vivo y91i (ocean blue 32 gb 2 gb ram),0,8490.00,9990.00,1500.0
5,redmi redmi note 7 pro (black 64 gb 4 gb ram),0,14499.00,15999.00,1500.0
6,vivo y91i (fusion black 32 gb 2 gb ram),0,8490.00,9990.00,1500.0
7,samsung galaxy a20 (black 32 gb 3 gb ram),0,12490.00,12900.00,410.0
8,samsung galaxy a20 (blue 32 gb 3 gb ram),0,12490.00,12900.00,410.0
9,samsung galaxy a10 (red 32 gb 2 gb ram),0,8490.00,9990.00,1500.0
10,samsung galaxy a2 core (black 16 gb 1 gb ram),0,5290.00,7000.00,1710.0
11,samsung galaxy a2 core (blue 16 gb 1 gb ram),0,5290.00,7000.00,1710.0
12,samsung galaxy a20 (red 32 gb 3 gb ram),0,12490.00,12900.00,410.0
13,oppo a5 (diamond red 64 gb 4 gb ram),0,12990.00,16990.00,4000.0
14,oppo a5 (diamond blue 64 gb 4 gb ram),0,12990.00,16990.00,4000.0
15,huawei p30 pro (aurora 256 gb 8 gb ram),0,71990.00,79990.00,8000.0
16,huawei p30 pro (breathing crystal 256 gb 8 gb ram),0,71990.00,79990.00,8000.0
17,vivo v15 (red 64 gb 6 gb ram),0,21990.00,26990.00,5000.0
18,vivo v15 (black 64 gb 6 gb ram),0,21990.00,26990.00,5000.0
19,vivo v15 (blue 64 gb 6 gb ram),0,21990.00,26990.00,5000.0
20,vivo y91i (blue 16 gb 2 gb ram),0,7990.00,8990.00,1000.0
21,vivo y91i (fusion black 16 gb 2 gb ram),0,7990.00,8990.00,1000.0
22,redmi redmi note 7 (onyx black 64 gb 4 gb ram),0,12499.00,14999.00,2500.0
23,redmi redmi note 7 (ruby red 64 gb 4 gb ram),0,12499.00,14999.00,2500.0
24,redmi redmi note 7 (sapphire blue 64 gb 4 gb ram),0,12499.00,14999.00,2500.0
25,samsung galaxy s10 (white 512 gb 8 gb ram),0,84900.00,92000.00,7100.0
26,samsung galaxy s10 (white 128 gb 8 gb ram),0,66900.00,71000.00,4100.0
27,samsung galaxy s10e (white 128 gb 6 gb ram),0,55900.00,59000.00,3100.0
28,samsung galaxy s10 (black 128 gb 8 gb ram),0,66900.00,71000.00,4100.0
29,samsung galaxy s10e (black 128 gb 6 gb ram),0,55900.00,59000.00,3100.0
30,ultraprolink activ bluetooth earphones (um0086 black),0,2199.00,2499.00,300.0
31,leaf beast wireless headphones,0,2899.00,3999.00,1100.0
32,ultraprolink morph bluetooth earphones (um0091),0,1999.00,2299.00,300.0
33,cygnett 20000 mah usb-c power bank (cy2220pbche black),0,12999.00,6099.00,-6900.0
34,ultraprolink zync 150 cm type-c usb cable (ul0058-0150 black),0,449.00,499.00,50.0
35,vivo v15 pro (red 128 gb 6 gb ram),0,28990.00,32990.00,4000.0
36,motorola one power (black 64 gb 4 gb ram),0,13999.00,13999.00,0.0
37,plantronics voyager 3200 series bluetooth headset with charge case (3240),0,8290.00,8290.00,0.0
38,plantronics backbeat wireless earphones (fit 350 black and grey),0,6490.00,6490.00,0.0
39,plantronics backbeat wireless earphones (fit 305 blue),0,5590.00,5590.00,0.0
40,plantronics backbeat wireless earphones (305 black and grey),0,5590.00,5590.00,0.0
41,plantronics backbeat sports earphones (fit 2100 blue),0,8100.00,8100.00,0.0
42,nokia 5.1 plus (black 64 gb 6 gb ram),0,16499.00,18499.00,2000.0
43,nokia 8.1 (blue 128 gb 6 gb ram),0,29999.00,31999.00,2000.0
44,jbl wireless headphones (tune 500bt blue),0,3299.00,3799.00,500.0
45,jbl wireless headphones (tune 500bt black),0,3299.00,3799.00,500.0
46,lg v40 thinq (platinum 128 gb 6 gb ram),0,50990.00,60000.00,9010.0
47,cygnett qi wireless desk charger (cy2366papmc),0,1749.00,1749.00,0.0
48,scratchgard screen guard for canon eos 1300d (transparent),0,399.00,899.00,500.0
49,boompods true wireless sports earphones (black),0,6499.00,6999.00,500.0
50,vivo y91 (black 32 gb 3 gb ram),0,9990.00,12990.00,3000.0
51,nokia 6.1 plus (black 64 gb 4 gb ram),0,15499.00,17599.00,2100.0
52,nokia 5.1 plus (blue 32 gb 3 gb ram),0,10599.00,13199.00,2600.0
53,nokia 5.1 plus (black 32 gb 3 gb ram),0,10599.00,13199.00,2600.0
54,vivo y93 (purple 64 gb 3 gb ram),0,11990.00,14990.00,3000.0
55,oppo a7 (glaze blue 64 gb 3 gb ram),0,12990.00,16990.00,4000.0
56,oppo a7 (glaring gold 64 gb 3 gb ram),0,12990.00,16990.00,4000.0
57,oneplus bullets wireless earphones (red),0,3990.00,3990.00,0.0
58,nokia 8.1 (iron 64 gb 4 gb ram),0,26999.00,28831.00,1832.0
