number,model,rating,final_price, original_price, price_difference
1,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
2,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
3,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
4,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
5,nokia red 1 8gb,0,  4555, 5818,1263.0
6,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
7,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
8,blackberry z10,3.4,  4348, 9999,5651.0
9,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
10,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
11,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
12,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
13,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
14,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
15,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
16,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
17,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
18,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
19,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
20,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
21,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
22,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
23,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
24,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
25,nokia red 1 8gb,0,  4555, 5818,1263.0
26,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
27,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
28,blackberry z10,3.4,  4348, 9999,5651.0
29,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
30,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
31,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
32,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
33,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
34,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
35,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
36,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
37,lg spirit h442 (black 8gb) - 1gb ram,3.4,  4529, 9999,5470.0
38,realme 2 pro (64gb 4gb ram),0,  14510, 14990,480.0
39,blackberry passport (white 32gb) - 3gb ram,3.4,  13999, 21500,7501.0
40,micromax gold canvas dual 4 4gb + 64gb,4.5,  7499, 19999,12500.0
41,nokia 6.1 (64gb 4gb ram),4.7,  13999, 19999,6000.0
42,coolpad note 8 (64gb 4gb ram),3.0,  8490, 11999,3509.0
43,redmi note 6 pro (64gb 4gb ram),4.3,  12298, 15999,3701.0
44,apple 4s black 4s 16gb,3.2999999999999994,  5400, 19999,14599.0
45,nokia red 1 8gb,0,  4555, 5818,1263.0
46,vivo y95 (64gb 4gb ram),4.5,  14990, 18990,4000.0
47,infocus black a2 (8gb 1gb ram),4.0,  4990, 8499,3509.0
48,blackberry z10,3.4,  4348, 9999,5651.0
49,mi mix 3 (128gb 6gb ram),0,  56000, 85000,29000.0
50,moto e5 plus (32gb 3gb ram)- with 6''hd display,4.6,  8099, 12999,4900.0
51,taicon white apple 4s white 16gb 16gb,0,  5499, 15999,10500.0
52,moto g6 (64gb 4gb ram) - with 18:9 hd display,3.7,  12399, 17999,5600.0
53,wellconnect champagne gold elite vr 8 gb gold 8gb,0,  3999, 4999,1000.0
54,micromax grey canvas dual 4 4gb + 64gb,3.2999999999999994,  7499, 19999,12500.0
55,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,3.9,  23990, 28990,5000.0
56,lenovo black lenovo a5 32gb,5.0,  7499, 7999,500.0
